region_index,region_label,hemisphere,x_mm,y_mm,z_mm
1,region_001,L,-35.02,1.642,0.171
2,region_002,L,-24.083,39.264,-12.188
3,region_003,L,-30.864,-18.056,-50.995
4,region_004,L,-32.457,37.25,37.916
5,region_005,L,-31.974,25.524,-6.778
6,region_006,L,-40.148,-6.545,-2.392
7,region_007,L,-29.051,-12.052,-14.498
8,region_008,L,-47.435,8.787,18.075
9,region_009,L,-42.822,-3.897,-38.337
10,region_010,L,-26.283,-68.251,5.183
11,region_011,L,-46.257,47.209,-6.068
12,region_012,L,-43.663,-7.713,3.063
13,region_013,L,-32.088,3.152,-9.367
14,region_014,L,-29.975,-76.424,-19.334
15,region_015,L,-13.602,31.127,-16.715
16,region_016,L,-47.866,9.244,42.525
17,region_017,L,-29.427,75.666,64.101
18,region_018,L,-17.805,-33.983,-48.712
19,region_019,L,-30.591,6.054,-16.085
20,region_020,L,-33.651,-38.92,26.444
21,region_021,L,-18.439,-21.321,11.014
22,region_022,L,-28.739,-2.399,-2.967
23,region_023,L,-39.601,46.753,-14.55
24,region_024,L,-10.999,35.832,3.043
25,region_025,L,-28.65,57.094,-4.967
26,region_026,L,-35.63,22.561,66.381
27,region_027,L,-26.072,42.266,12.599
28,region_028,L,-46.263,33.445,16.165
29,region_029,L,-14.797,-25.738,18.156
30,region_030,L,-24.398,-87.625,44.899
31,region_031,L,-17.475,-68.172,-33.954
32,region_032,L,-31.877,54.051,58.081
33,region_033,L,-34.627,-23.613,10.769
34,region_034,L,-22.715,14.756,-47.257
35,region_035,L,-13.474,132.663,-18.437
36,region_036,L,-31.063,-14.129,23.419
37,region_037,L,-36.761,-54.434,12.807
38,region_038,L,-38.325,34.022,-19.577
39,region_039,L,-44.847,11.83,23.651
40,region_040,L,-45.88,-37.885,38.681
41,region_041,L,-32.454,-12.231,-8.592
42,region_042,L,-37.564,62.632,21.047
43,region_043,L,-37.781,107.713,26.639
44,region_044,L,-34.505,6.388,17.315
45,region_045,L,-20.316,7.728,-36.155
46,region_046,L,-25.658,16.866,14.684
47,region_047,L,-42.032,-6.842,44.75
48,region_048,L,-16.196,14.672,29.914
49,region_049,L,-10.943,73.404,-13.351
50,region_050,L,-20.597,11.482,28.439
51,region_051,L,-18.765,33.968,-32.952
52,region_052,L,-18.206,-32.854,23.453
53,region_053,L,-36.096,7.134,31.23
54,region_054,L,-41.237,2.387,52.172
55,region_055,L,-29.586,-24.159,54.095
56,region_056,L,-38.602,-30.044,33.673
57,region_057,L,-35.466,-113.846,-2.271
58,region_058,L,-30.942,-2.442,-5.749
59,region_059,L,-20.541,-40.742,-58.865
60,region_060,L,-29.26,-41.727,-36.274
61,region_061,L,-46.997,13.995,17.382
62,region_062,L,-35.95,7.655,-1.606
63,region_063,L,-19.649,-82.964,29.043
64,region_064,L,-26.097,-8.456,-29.643
65,region_065,L,-30.467,-53.796,-50.682
66,region_066,L,-32.741,-66.846,-0.274
67,region_067,L,-30.072,5.203,-36.344
68,region_068,L,-15.111,0.94,-26.499
69,region_069,L,-20.754,-84.633,59.287
70,region_070,L,-20.434,33.956,23.808
71,region_071,L,-25.474,-35.907,14.948
72,region_072,L,-49.741,32.446,-18.224
73,region_073,L,-32.176,27.876,-19.985
74,region_074,L,-22.491,40.063,9.225
75,region_075,L,-27.602,0.721,7.137
76,region_076,L,-42.687,43.961,-28.133
77,region_077,L,-29.189,-10.421,-41.617
78,region_078,L,-20.961,28.493,-11.866
79,region_079,L,-38.49,-50.954,47.777
80,region_080,L,-16.541,-69.151,2.322
81,region_081,L,-23.845,15.786,16.747
82,region_082,L,-26.809,35.722,28.984
83,region_083,L,-16.669,-51.956,-45.734
84,region_084,L,-26.736,-19.183,-42.786
85,region_085,L,-35.574,1.685,-9.164
86,region_086,L,-50.543,-14.419,38.326
87,region_087,L,-28.995,14.715,18.294
88,region_088,L,-27.287,25.155,72.028
89,region_089,L,-32.423,20.61,51.17
90,region_090,L,-26.987,32.91,27.554
91,region_091,L,-37.108,-80.428,-1.93
92,region_092,L,-39.415,9.223,21.63
93,region_093,L,-55.609,-17.025,-23.032
94,region_094,L,-21.198,71.448,-11.824
95,region_095,L,-30.786,54.172,-0.808
96,region_096,L,-37.282,-48.624,5.213
97,region_097,L,-32.257,-20.159,34.338
98,region_098,L,-35.057,-123.487,50.43
99,region_099,L,-28.527,-16.073,-11.706
100,region_100,L,-40.443,58.532,-18.511
101,region_101,L,-44.176,-64.446,27.238
102,region_102,L,-45.811,53.292,-2.987
103,region_103,L,-36.877,-48.195,32.215
104,region_104,L,-33.937,23.394,68.038
105,region_105,L,-40.855,-107.375,16.665
106,region_106,L,-31.644,-35.841,22.901
107,region_107,L,-32.625,28.659,12.676
108,region_108,L,-26.333,-24.149,-23.809
109,region_109,L,-37.252,53.581,-20.906
110,region_110,L,-24.187,-3.454,3.247
111,region_111,L,-18.025,-30.991,-54.509
112,region_112,L,-19.535,71.941,-25.614
113,region_113,L,-25.819,-37.489,-6.164
114,region_114,L,-31.917,-3.874,-17.63
115,region_115,L,-25.782,7.691,-26.577
116,region_116,L,-16.21,68.121,-2.805
117,region_117,L,-35.349,10.554,-8.532
118,region_118,L,-30.876,61.228,-1.953
119,region_119,L,-22.9,-4.691,24.274
120,region_120,L,-22.854,17.919,-41.751
121,region_121,L,-30.155,-0.819,62.603
122,region_122,L,-31.363,3.066,47.35
123,region_123,L,-38.28,44.063,-18.995
124,region_124,L,-29.424,60.87,-1.527
125,region_125,L,-29.451,43.651,1.803
