,region_001,region_002,region_003,region_004,region_005,region_006,region_007,region_008,region_009,region_010
region_001,1.0,-0.22876143187558007,0.09672116702864209,0.00913791152177465,0.27125712223436577,-0.31911110722870684,-0.0007178392135618066,0.2507429729572112,0.2068814804313263,0.30176451309084823
region_002,-0.22876143187558007,1.0,0.17844569685286785,0.3126218274940938,0.5600215316152611,-0.21332352710555702,-0.1993751998718361,-0.44655929768833175,-0.16672945761433763,-0.47310963852855836
region_003,0.0967211670286421,0.17844569685286782,1.0,0.2716252165167538,-0.07825134802114067,-0.29456465938235343,-0.12897353168764192,-0.04060443136714545,0.37469083097754613,-0.2585845542398749
region_004,0.00913791152177465,0.3126218274940938,0.2716252165167538,1.0,0.18066183227215502,-0.22159927207919153,-0.48994411496156637,0.026926714959107333,-0.32365721937258196,0.19541782601142083
region_005,0.27125712223436577,0.5600215316152611,-0.07825134802114067,0.18066183227215504,1.0,-0.404181142473745,-0.038292903721493375,-0.18965396997572875,-0.1961980043014011,-0.160900240522576
region_006,-0.31911110722870684,-0.21332352710555705,-0.29456465938235343,-0.22159927207919153,-0.404181142473745,1.0,0.20137937762859728,-0.1591624661587955,-0.1555982524672602,-0.12165865225246583
region_007,-0.0007178392135618065,-0.1993751998718361,-0.12897353168764195,-0.48994411496156637,-0.038292903721493375,0.2013793776285973,1.0,-0.22302663963464106,0.029938504094742368,-0.13370393740600509
region_008,0.2507429729572112,-0.44655929768833175,-0.040604431367145456,0.026926714959107333,-0.18965396997572873,-0.1591624661587955,-0.22302663963464106,1.0,0.1756272640889783,0.6875291122691317
region_009,0.2068814804313263,-0.16672945761433763,0.37469083097754613,-0.32365721937258196,-0.1961980043014011,-0.1555982524672602,0.029938504094742368,0.17562726408897827,1.0,-0.15788105647616985
region_010,0.30176451309084823,-0.47310963852855836,-0.258584554239875,0.19541782601142083,-0.160900240522576,-0.12165865225246583,-0.13370393740600509,0.6875291122691318,-0.15788105647616987,1.0
