subject,full_mgka_h60_fc05,dot_h60_fc05,mgka_h60_fc00,mgka_h30_fc05
144933,0.789373,0.748059,0.791086,0.856004
145834,0.511635,0.890795,0.874579,0.71177
146129,0.907353,0.826956,0.907002,0.924077
146432,0.898264,0.72607,0.896163,0.870254
146533,0.905886,0.572094,0.906014,0.905337
300719,0.890448,0.861167,0.890726,0.857735
314225,0.878215,0.762083,0.878946,0.81869
325129,0.759833,0.613154,0.757166,0.837321
350330,0.83839,0.726774,0.83794,0.809379
360030,0.885804,0.468998,0.886232,0.780544
368753,0.906853,0.873284,0.89739,0.891528
376247,0.948442,0.771403,0.948223,0.922071
378756,0.849707,0.781306,0.849324,0.83614
392447,0.896988,0.887883,0.896983,0.876431
394956,0.903146,0.778616,0.90078,0.909707
413934,0.833339,0.862493,0.834622,0.821198
419239,0.891495,0.883441,0.891996,0.884998
421226,0.85391,0.791267,0.816268,0.75988
453542,0.86708,0.857915,0.86703,0.771904
454140,0.872862,0.789861,0.863182,0.866767
461743,0.861867,0.801941,0.862699,0.881255
463040,0.937795,0.669879,0.937509,0.885521
468050,0.819213,0.709248,0.890448,0.722219
510225,0.893638,0.847814,0.893464,0.87644
513130,0.892697,0.817602,0.892811,0.873518
